roi,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Beads,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Prorocentrum_cordatum,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Uroglenopsis_sp
109,0.00033,0.01815,0.00226,0.05982,0.00006,0.00183,0.00030,0.00053,0.00049,0.07008,0.02240,0.00048,0.00277,0.01544,0.00550,0.00003,0.00007,0.00008,0.00597,0.00006,0.00007,0.00038,0.00000,0.00002,0.00039,0.00175,0.00000,0.04197,0.00008,0.00002,0.00001,0.03707,0.00006,0.03884,0.00012,0.00070,0.00018,0.03662,0.00009,0.00453,0.00640,0.00014,0.00004,0.00027,0.00599,0.10175,0.00481,0.00217,0.00112,0.50776
110,0.00004,0.00002,0.00005,0.00422,0.00000,0.00414,0.00000,0.00000,0.00015,0.00430,0.00007,0.00002,0.03894,0.68397,0.00010,0.00003,0.00000,0.00000,0.00001,0.00000,0.00002,0.00057,0.00000,0.00002,0.00000,0.00237,0.00000,0.00380,0.00014,0.00000,0.00000,0.00062,0.00000,0.01248,0.00002,0.00000,0.00006,0.00033,0.00000,0.00011,0.00032,0.00000,0.00000,0.00003,0.00172,0.23843,0.00010,0.00010,0.00006,0.00262
111,0.00020,0.02197,0.00088,0.18341,0.00002,0.00159,0.00001,0.00003,0.00022,0.19787,0.02291,0.00008,0.00148,0.00537,0.00838,0.00001,0.00004,0.00003,0.00349,0.00002,0.00001,0.00011,0.00000,0.00001,0.00031,0.00118,0.00000,0.03949,0.00002,0.00000,0.00000,0.05177,0.00001,0.04533,0.00004,0.00062,0.00003,0.07962,0.00008,0.00047,0.00255,0.00005,0.00001,0.00017,0.00256,0.20875,0.00207,0.00236,0.00034,0.11398
112,0.00001,0.00004,0.00001,0.01639,0.00000,0.00049,0.00000,0.00000,0.00006,0.00145,0.00011,0.00001,0.00598,0.02361,0.00098,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00023,0.00000,0.00000,0.00000,0.00276,0.00000,0.00731,0.00008,0.00000,0.00000,0.00096,0.00000,0.00381,0.00001,0.00000,0.00001,0.00044,0.00000,0.00009,0.00009,0.00000,0.00000,0.00001,0.00268,0.92708,0.00011,0.00004,0.00021,0.00490
113,0.00004,0.00027,0.00004,0.02239,0.00000,0.00074,0.00003,0.00002,0.00011,0.00226,0.00020,0.00002,0.01114,0.05276,0.00306,0.00008,0.00000,0.00000,0.00006,0.00000,0.00000,0.00051,0.00000,0.00001,0.00002,0.00948,0.00000,0.03548,0.00008,0.00000,0.00000,0.00131,0.00000,0.00655,0.00002,0.00001,0.00002,0.00111,0.00000,0.00066,0.00029,0.00001,0.00000,0.00001,0.00804,0.82851,0.00037,0.00006,0.00095,0.01328
114,0.00002,0.01078,0.00045,0.00298,0.00007,0.01738,0.01440,0.00433,0.00001,0.00054,0.00004,0.00030,0.04509,0.05946,0.00040,0.00006,0.00000,0.00004,0.00012,0.00001,0.00085,0.00994,0.00000,0.00001,0.00000,0.00259,0.00000,0.11729,0.00024,0.00073,0.00000,0.00008,0.00000,0.00022,0.00073,0.00025,0.00009,0.00080,0.00006,0.64721,0.03135,0.00008,0.00011,0.00003,0.00099,0.01475,0.01044,0.00003,0.00289,0.00175
115,0.00002,0.00216,0.00008,0.65620,0.00000,0.00280,0.00000,0.00001,0.00002,0.00660,0.00020,0.00000,0.00234,0.03648,0.00140,0.00000,0.00000,0.00000,0.00015,0.00000,0.00000,0.00027,0.00000,0.00000,0.00000,0.00423,0.00000,0.02050,0.00001,0.00000,0.00000,0.00081,0.00000,0.00304,0.00003,0.00002,0.00000,0.00148,0.00000,0.00066,0.00103,0.00002,0.00000,0.00000,0.00148,0.24633,0.00074,0.00005,0.00054,0.01026
116,0.00001,0.00004,0.00001,0.00024,0.00000,0.00533,0.00001,0.00000,0.00001,0.00032,0.00000,0.00002,0.07712,0.89075,0.00002,0.00004,0.00000,0.00000,0.00000,0.00000,0.00007,0.00400,0.00000,0.00003,0.00000,0.00111,0.00000,0.00292,0.00010,0.00000,0.00000,0.00001,0.00000,0.00045,0.00000,0.00000,0.00007,0.00006,0.00000,0.00036,0.00022,0.00000,0.00000,0.00003,0.00009,0.01643,0.00003,0.00002,0.00003,0.00006
117,0.00003,0.02354,0.00100,0.00433,0.00001,0.02328,0.00200,0.00050,0.00023,0.01488,0.00084,0.00008,0.12024,0.39251,0.00064,0.00008,0.00001,0.00001,0.00852,0.00020,0.00156,0.01146,0.00000,0.00043,0.00001,0.04087,0.00000,0.21936,0.00017,0.00017,0.00000,0.00372,0.00000,0.00309,0.00057,0.00012,0.00035,0.00461,0.00001,0.05671,0.02340,0.00002,0.00006,0.00013,0.00091,0.01277,0.01233,0.00082,0.00094,0.01247
118,0.00159,0.03303,0.01429,0.00262,0.00129,0.07640,0.00757,0.00033,0.00190,0.00455,0.00076,0.00131,0.04574,0.55918,0.00065,0.00053,0.00010,0.00009,0.00462,0.00377,0.01750,0.01321,0.00047,0.00515,0.00010,0.01617,0.00037,0.00905,0.00076,0.00619,0.00006,0.00065,0.00012,0.00288,0.01030,0.00122,0.01188,0.00443,0.00011,0.06275,0.05225,0.00109,0.00194,0.00293,0.00104,0.00130,0.00686,0.00244,0.00561,0.00086
119,0.00001,0.00035,0.00004,0.00011,0.00000,0.00265,0.00013,0.00000,0.00032,0.00063,0.00001,0.00001,0.16715,0.79400,0.00040,0.00007,0.00000,0.00000,0.00036,0.00001,0.00015,0.00475,0.00000,0.00040,0.00000,0.00426,0.00000,0.01481,0.00022,0.00000,0.00000,0.00003,0.00000,0.00072,0.00001,0.00000,0.00337,0.00012,0.00000,0.00043,0.00016,0.00000,0.00000,0.00015,0.00038,0.00203,0.00054,0.00029,0.00084,0.00011
120,0.00002,0.00005,0.00003,0.00027,0.00000,0.00117,0.00001,0.00000,0.00002,0.00032,0.00000,0.00003,0.01707,0.96392,0.00002,0.00004,0.00000,0.00000,0.00001,0.00000,0.00005,0.00094,0.00000,0.00001,0.00000,0.00068,0.00000,0.00194,0.00003,0.00001,0.00000,0.00002,0.00000,0.00239,0.00000,0.00000,0.00007,0.00009,0.00000,0.00034,0.00014,0.00000,0.00000,0.00002,0.00026,0.00958,0.00003,0.00002,0.00004,0.00036
121,0.00008,0.00001,0.00002,0.00841,0.00000,0.00042,0.00000,0.00001,0.00005,0.00464,0.00031,0.00002,0.00336,0.06145,0.00020,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00012,0.00000,0.00000,0.00000,0.00189,0.00000,0.00172,0.00001,0.00000,0.00000,0.00258,0.00000,0.01789,0.00000,0.00000,0.00001,0.00084,0.00000,0.00012,0.00024,0.00000,0.00000,0.00000,0.03153,0.74261,0.00004,0.00007,0.00006,0.12124
122,0.00003,0.00009,0.00004,0.00465,0.00010,0.00011,0.00065,0.00020,0.00021,0.00066,0.00043,0.00005,0.00587,0.01244,0.01499,0.00035,0.00167,0.00000,0.00006,0.00001,0.00000,0.00447,0.00000,0.00006,0.00137,0.02004,0.00020,0.00152,0.00042,0.00000,0.00003,0.00040,0.00124,0.00076,0.00001,0.00002,0.00006,0.00011,0.00001,0.00006,0.00001,0.00030,0.00007,0.00002,0.23968,0.09521,0.00019,0.00053,0.58871,0.00189
123,0.00002,0.00053,0.00004,0.01202,0.00000,0.00750,0.00003,0.00000,0.00002,0.00125,0.00001,0.00005,0.06076,0.71226,0.00024,0.00002,0.00000,0.00000,0.00005,0.00000,0.00004,0.00265,0.00000,0.00002,0.00000,0.00277,0.00000,0.09499,0.00040,0.00001,0.00000,0.00006,0.00000,0.00246,0.00002,0.00000,0.00005,0.00030,0.00000,0.00184,0.00085,0.00000,0.00000,0.00003,0.00039,0.09665,0.00068,0.00002,0.00020,0.00080
124,0.00005,0.00018,0.00012,0.00010,0.00000,0.00424,0.00014,0.00000,0.00042,0.00093,0.00004,0.00006,0.08120,0.88302,0.00009,0.00021,0.00000,0.00000,0.00010,0.00001,0.00145,0.00471,0.00000,0.00016,0.00001,0.00316,0.00000,0.00236,0.00035,0.00007,0.00000,0.00008,0.00000,0.00559,0.00003,0.00000,0.00185,0.00042,0.00000,0.00060,0.00050,0.00000,0.00001,0.00043,0.00166,0.00442,0.00026,0.00034,0.00030,0.00032
125,0.00008,0.00051,0.00011,0.00546,0.00001,0.00882,0.00044,0.00003,0.00038,0.00350,0.00011,0.00013,0.25181,0.35213,0.00497,0.00071,0.00004,0.00000,0.00013,0.00001,0.00017,0.01520,0.00000,0.00015,0.00007,0.02081,0.00000,0.09149,0.00223,0.00004,0.00000,0.00033,0.00000,0.00282,0.00006,0.00002,0.00092,0.00063,0.00001,0.00279,0.00085,0.00002,0.00001,0.00015,0.03028,0.18847,0.00327,0.00040,0.00702,0.00239
126,0.00001,0.00090,0.00003,0.02785,0.00000,0.00077,0.00000,0.00000,0.00001,0.00382,0.00008,0.00001,0.00830,0.12569,0.00064,0.00001,0.00000,0.00000,0.00007,0.00000,0.00000,0.00027,0.00000,0.00000,0.00000,0.00173,0.00000,0.09709,0.00001,0.00000,0.00000,0.00064,0.00000,0.01190,0.00000,0.00001,0.00000,0.00189,0.00000,0.00064,0.00037,0.00000,0.00000,0.00001,0.00076,0.70063,0.00015,0.00002,0.00011,0.01556
127,0.00010,0.00002,0.00009,0.00012,0.00000,0.00426,0.00006,0.00000,0.00052,0.00082,0.00005,0.00011,0.06507,0.89442,0.00008,0.00028,0.00000,0.00000,0.00001,0.00000,0.00038,0.00195,0.00000,0.00013,0.00000,0.00095,0.00000,0.00054,0.00066,0.00004,0.00000,0.00016,0.00000,0.00627,0.00003,0.00000,0.00091,0.00028,0.00000,0.00009,0.00017,0.00000,0.00000,0.00035,0.00163,0.01875,0.00007,0.00023,0.00021,0.00019
128,0.00000,0.00002,0.00001,0.00011,0.00000,0.00062,0.00000,0.00000,0.00001,0.00021,0.00000,0.00000,0.01259,0.96339,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00024,0.00000,0.00000,0.00000,0.00018,0.00000,0.00095,0.00001,0.00000,0.00000,0.00002,0.00000,0.00698,0.00000,0.00000,0.00001,0.00013,0.00000,0.00003,0.00004,0.00000,0.00000,0.00001,0.00007,0.01420,0.00001,0.00001,0.00001,0.00007
129,0.00003,0.00004,0.00005,0.00021,0.00000,0.00485,0.00002,0.00000,0.00003,0.00056,0.00001,0.00004,0.06478,0.90425,0.00002,0.00010,0.00000,0.00000,0.00001,0.00000,0.00026,0.00350,0.00000,0.00005,0.00000,0.00134,0.00000,0.00168,0.00029,0.00003,0.00000,0.00002,0.00000,0.00195,0.00001,0.00000,0.00009,0.00008,0.00000,0.00015,0.00013,0.00000,0.00000,0.00010,0.00112,0.01380,0.00006,0.00004,0.00023,0.00008
130,0.00005,0.00002,0.00005,0.00236,0.00000,0.00286,0.00001,0.00000,0.00019,0.00366,0.00006,0.00004,0.07586,0.66595,0.00015,0.00011,0.00000,0.00000,0.00001,0.00000,0.00003,0.00131,0.00000,0.00004,0.00000,0.00448,0.00000,0.00472,0.00032,0.00000,0.00000,0.00044,0.00000,0.01243,0.00001,0.00000,0.00009,0.00020,0.00000,0.00008,0.00013,0.00000,0.00000,0.00005,0.00693,0.21531,0.00011,0.00014,0.00020,0.00160
131,0.00017,0.00020,0.00013,0.00224,0.00000,0.00712,0.00045,0.00027,0.00110,0.00426,0.00032,0.00008,0.18075,0.38406,0.00152,0.00197,0.00002,0.00000,0.00013,0.00001,0.00049,0.01432,0.00000,0.00019,0.00006,0.05638,0.00000,0.02596,0.00074,0.00012,0.00000,0.00117,0.00000,0.00567,0.00011,0.00001,0.00142,0.00100,0.00001,0.00411,0.00204,0.00003,0.00002,0.00013,0.05403,0.22543,0.00166,0.00069,0.00228,0.01714
132,0.00053,0.03839,0.00056,0.00261,0.04158,0.00040,0.00491,0.00104,0.00004,0.00003,0.00001,0.00257,0.00041,0.00487,0.00014,0.00061,0.01690,0.00322,0.04050,0.01774,0.00208,0.00502,0.00052,0.00489,0.00639,0.00202,0.01310,0.00106,0.00052,0.00333,0.03884,0.00001,0.13167,0.00061,0.00031,0.08673,0.00057,0.00012,0.00011,0.00098,0.00016,0.02217,0.48241,0.00086,0.00014,0.00003,0.00106,0.00015,0.01703,0.00007
133,0.00251,0.00093,0.00125,0.00017,0.00010,0.00213,0.00011,0.00000,0.00008,0.00021,0.00003,0.00065,0.00363,0.97424,0.00002,0.00012,0.00000,0.00000,0.00006,0.00003,0.00123,0.00062,0.00002,0.00013,0.00001,0.00054,0.00001,0.00046,0.00013,0.00312,0.00000,0.00004,0.00007,0.00336,0.00008,0.00007,0.00036,0.00029,0.00000,0.00095,0.00047,0.00003,0.00011,0.00059,0.00011,0.00022,0.00002,0.00009,0.00059,0.00002
134,0.00001,0.00002,0.00001,0.00068,0.00000,0.00371,0.00000,0.00000,0.00000,0.00026,0.00000,0.00001,0.02556,0.94620,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00003,0.00121,0.00000,0.00000,0.00000,0.00039,0.00000,0.00104,0.00005,0.00000,0.00000,0.00001,0.00000,0.00083,0.00000,0.00000,0.00001,0.00004,0.00000,0.00013,0.00013,0.00000,0.00000,0.00001,0.00011,0.01948,0.00001,0.00001,0.00001,0.00005
135,0.00021,0.01541,0.00111,0.00047,0.00076,0.00191,0.04137,0.00577,0.03435,0.00724,0.02380,0.00078,0.03793,0.02090,0.02056,0.00686,0.00711,0.00046,0.31760,0.01743,0.00387,0.02272,0.00011,0.03031,0.00537,0.04592,0.00227,0.01412,0.00227,0.00050,0.00467,0.07179,0.03925,0.00811,0.00035,0.00323,0.02321,0.01557,0.00087,0.00319,0.00170,0.00093,0.00163,0.00473,0.00524,0.00527,0.00514,0.06016,0.01503,0.04042
136,0.00004,0.00017,0.00012,0.00029,0.00000,0.01107,0.00008,0.00000,0.00012,0.00058,0.00003,0.00006,0.03035,0.93534,0.00003,0.00003,0.00000,0.00000,0.00003,0.00000,0.00158,0.00154,0.00000,0.00004,0.00000,0.00051,0.00000,0.00200,0.00035,0.00008,0.00000,0.00007,0.00000,0.00693,0.00006,0.00000,0.00035,0.00042,0.00000,0.00051,0.00100,0.00000,0.00000,0.00019,0.00044,0.00490,0.00033,0.00006,0.00009,0.00021
137,0.00001,0.00030,0.00003,0.00037,0.00000,0.00102,0.00001,0.00000,0.00004,0.00064,0.00001,0.00000,0.01459,0.95795,0.00005,0.00000,0.00000,0.00000,0.00013,0.00000,0.00004,0.00023,0.00000,0.00001,0.00000,0.00066,0.00000,0.00548,0.00001,0.00000,0.00000,0.00006,0.00000,0.01111,0.00000,0.00000,0.00005,0.00053,0.00000,0.00009,0.00013,0.00000,0.00000,0.00002,0.00007,0.00599,0.00005,0.00003,0.00002,0.00023
138,0.00022,0.04175,0.00122,0.11233,0.00008,0.00311,0.00009,0.00007,0.00049,0.14694,0.02006,0.00016,0.00465,0.01312,0.01964,0.00003,0.00015,0.00004,0.01088,0.00008,0.00006,0.00053,0.00000,0.00004,0.00075,0.00286,0.00000,0.07105,0.00009,0.00001,0.00001,0.04588,0.00004,0.05969,0.00006,0.00141,0.00010,0.10404,0.00018,0.00085,0.00284,0.00011,0.00002,0.00046,0.00533,0.21734,0.00480,0.00376,0.00147,0.10113
139,0.00018,0.00226,0.00072,0.38132,0.00000,0.00147,0.00002,0.00012,0.00042,0.04721,0.01247,0.00005,0.00170,0.00872,0.00478,0.00001,0.00001,0.00001,0.00109,0.00002,0.00001,0.00012,0.00000,0.00002,0.00006,0.00545,0.00000,0.01814,0.00002,0.00001,0.00000,0.07542,0.00000,0.01475,0.00016,0.00011,0.00002,0.00687,0.00001,0.00096,0.00213,0.00008,0.00000,0.00001,0.00688,0.25597,0.00127,0.00097,0.00062,0.14737
140,0.00026,0.02984,0.01680,0.00164,0.00818,0.00263,0.01016,0.00124,0.04411,0.05692,0.10775,0.00022,0.00418,0.00645,0.01486,0.00026,0.00782,0.00049,0.01915,0.01753,0.00700,0.00428,0.03890,0.00171,0.00479,0.00800,0.11996,0.00101,0.00015,0.00024,0.00027,0.00684,0.00039,0.00310,0.00894,0.00481,0.01513,0.00906,0.00235,0.00088,0.00128,0.01585,0.03367,0.01074,0.00476,0.00164,0.04050,0.23553,0.05983,0.00788
141,0.00010,0.02359,0.00168,0.00333,0.00000,0.01616,0.00023,0.00009,0.00004,0.02028,0.00130,0.00006,0.01958,0.57214,0.00019,0.00001,0.00000,0.00000,0.00168,0.00001,0.00046,0.00103,0.00000,0.00001,0.00000,0.00167,0.00000,0.04208,0.00001,0.00001,0.00000,0.00306,0.00000,0.01735,0.00003,0.00002,0.00012,0.05048,0.00000,0.03100,0.07435,0.00001,0.00001,0.00004,0.00046,0.02561,0.00078,0.00032,0.00006,0.09056
142,0.00001,0.00340,0.00030,0.00343,0.00019,0.00288,0.00386,0.00058,0.01170,0.00520,0.00105,0.00002,0.00156,0.00098,0.00261,0.00001,0.00057,0.00009,0.01271,0.00159,0.00029,0.00065,0.00015,0.00018,0.00017,0.00226,0.00015,0.00380,0.00016,0.00003,0.00020,0.00125,0.00000,0.00029,0.00974,0.00020,0.00779,0.00066,0.00004,0.00196,0.00293,0.00004,0.00033,0.00030,0.00211,0.00023,0.89189,0.00197,0.00433,0.01319
143,0.00001,0.00009,0.00002,0.00284,0.00000,0.00199,0.00000,0.00000,0.00006,0.00151,0.00003,0.00001,0.04571,0.58372,0.00021,0.00002,0.00000,0.00000,0.00002,0.00000,0.00001,0.00076,0.00000,0.00002,0.00000,0.00397,0.00000,0.01071,0.00012,0.00000,0.00000,0.00025,0.00000,0.01481,0.00000,0.00000,0.00003,0.00101,0.00000,0.00007,0.00015,0.00000,0.00000,0.00003,0.00079,0.33010,0.00005,0.00005,0.00008,0.00071
144,0.00023,0.00275,0.00169,0.00086,0.00003,0.00603,0.00015,0.00000,0.00005,0.00097,0.00012,0.00007,0.00555,0.96785,0.00005,0.00001,0.00000,0.00000,0.00009,0.00003,0.00057,0.00096,0.00000,0.00008,0.00000,0.00212,0.00000,0.00132,0.00003,0.00028,0.00000,0.00011,0.00001,0.00118,0.00010,0.00004,0.00009,0.00041,0.00000,0.00180,0.00104,0.00003,0.00004,0.00011,0.00021,0.00080,0.00009,0.00015,0.00178,0.00009
145,0.00028,0.00004,0.00006,0.01255,0.00000,0.00028,0.00006,0.00046,0.00343,0.00519,0.00443,0.00003,0.00586,0.01672,0.00748,0.00058,0.00005,0.00000,0.00027,0.00001,0.00001,0.00056,0.00000,0.00006,0.00031,0.07040,0.00000,0.00232,0.00007,0.00001,0.00000,0.06469,0.00004,0.01107,0.00003,0.00001,0.00010,0.00107,0.00000,0.00031,0.00020,0.00008,0.00001,0.00001,0.28209,0.34612,0.00016,0.00189,0.00277,0.15785
146,0.00008,0.00034,0.00010,0.20349,0.00000,0.00253,0.00000,0.00001,0.00026,0.01607,0.00095,0.00002,0.00459,0.05075,0.00128,0.00001,0.00000,0.00000,0.00016,0.00000,0.00000,0.00016,0.00000,0.00001,0.00001,0.00476,0.00000,0.01825,0.00004,0.00000,0.00000,0.01110,0.00000,0.01560,0.00006,0.00001,0.00003,0.00298,0.00000,0.00079,0.00222,0.00000,0.00000,0.00001,0.00280,0.55804,0.00070,0.00022,0.00009,0.10145
147,0.00001,0.00038,0.00005,0.00017,0.00000,0.00439,0.00009,0.00000,0.00010,0.00146,0.00001,0.00002,0.30198,0.61542,0.00018,0.00024,0.00001,0.00000,0.00021,0.00001,0.00036,0.00932,0.00000,0.00032,0.00001,0.00440,0.00000,0.04207,0.00047,0.00001,0.00000,0.00005,0.00000,0.00211,0.00001,0.00000,0.00067,0.00027,0.00000,0.00049,0.00028,0.00000,0.00000,0.00033,0.00065,0.01211,0.00063,0.00015,0.00034,0.00023
148,0.00067,0.01218,0.00114,0.10834,0.00004,0.00296,0.00004,0.00009,0.00132,0.13563,0.03521,0.00024,0.00290,0.00871,0.01447,0.00004,0.00010,0.00006,0.00336,0.00005,0.00004,0.00025,0.00001,0.00003,0.00066,0.00285,0.00000,0.02596,0.00012,0.00001,0.00001,0.08970,0.00003,0.05256,0.00014,0.00076,0.00020,0.11132,0.00015,0.00079,0.00483,0.00008,0.00001,0.00050,0.00601,0.24747,0.00230,0.00519,0.00065,0.11983
149,0.00001,0.00003,0.00001,0.01488,0.00000,0.00058,0.00000,0.00000,0.00001,0.00151,0.00010,0.00000,0.00148,0.03263,0.00020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000,0.00029,0.00000,0.00158,0.00001,0.00000,0.00000,0.00066,0.00000,0.00836,0.00000,0.00000,0.00000,0.00100,0.00000,0.00005,0.00018,0.00000,0.00000,0.00000,0.00173,0.92658,0.00004,0.00001,0.00003,0.00800
150,0.00000,0.00011,0.00002,0.00004,0.00000,0.00223,0.00002,0.00000,0.00002,0.00025,0.00000,0.00000,0.04216,0.94822,0.00003,0.00001,0.00000,0.00000,0.00004,0.00000,0.00014,0.00146,0.00000,0.00005,0.00000,0.00055,0.00000,0.00142,0.00004,0.00000,0.00000,0.00001,0.00000,0.00088,0.00000,0.00000,0.00010,0.00010,0.00000,0.00007,0.00007,0.00000,0.00000,0.00003,0.00006,0.00173,0.00004,0.00004,0.00005,0.00003
151,0.00001,0.00232,0.00007,0.00887,0.00000,0.00124,0.00008,0.00001,0.00008,0.00300,0.00004,0.00001,0.06504,0.42557,0.00104,0.00009,0.00000,0.00000,0.00308,0.00001,0.00002,0.00292,0.00000,0.00008,0.00001,0.03308,0.00000,0.31003,0.00003,0.00000,0.00000,0.00048,0.00000,0.00827,0.00001,0.00001,0.00009,0.00090,0.00000,0.00363,0.00073,0.00001,0.00000,0.00001,0.00110,0.10499,0.00082,0.00011,0.00043,0.02169
152,0.00003,0.00005,0.00005,0.00683,0.00000,0.00470,0.00001,0.00000,0.00002,0.00165,0.00004,0.00001,0.01669,0.65583,0.00010,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00050,0.00000,0.00000,0.00000,0.00195,0.00000,0.00208,0.00002,0.00000,0.00000,0.00018,0.00000,0.00424,0.00001,0.00000,0.00002,0.00045,0.00000,0.00039,0.00073,0.00000,0.00000,0.00000,0.00150,0.29860,0.00005,0.00003,0.00007,0.00314
153,0.00001,0.00038,0.00005,0.06303,0.00000,0.00272,0.00004,0.00001,0.00004,0.00235,0.00003,0.00002,0.04539,0.43438,0.00159,0.00002,0.00000,0.00000,0.00008,0.00000,0.00001,0.00370,0.00000,0.00002,0.00001,0.01199,0.00000,0.06021,0.00026,0.00000,0.00000,0.00013,0.00000,0.00443,0.00002,0.00001,0.00005,0.00026,0.00000,0.00109,0.00030,0.00001,0.00000,0.00001,0.00671,0.35198,0.00102,0.00006,0.00299,0.00457
154,0.00005,0.00023,0.00013,0.00011,0.00001,0.00910,0.00059,0.00001,0.00009,0.00010,0.00000,0.00008,0.04564,0.90393,0.00002,0.00018,0.00001,0.00000,0.00011,0.00005,0.00262,0.01809,0.00000,0.00356,0.00000,0.00859,0.00003,0.00078,0.00082,0.00025,0.00000,0.00001,0.00003,0.00021,0.00009,0.00000,0.00117,0.00004,0.00000,0.00087,0.00040,0.00002,0.00006,0.00011,0.00019,0.00037,0.00012,0.00012,0.00098,0.00002
155,0.00002,0.00017,0.00003,0.06929,0.00000,0.00282,0.00000,0.00000,0.00002,0.00407,0.00011,0.00001,0.01428,0.08892,0.00038,0.00001,0.00000,0.00000,0.00004,0.00000,0.00000,0.00029,0.00000,0.00001,0.00000,0.00503,0.00000,0.02889,0.00005,0.00000,0.00000,0.00217,0.00000,0.00778,0.00001,0.00000,0.00000,0.00084,0.00000,0.00027,0.00054,0.00000,0.00000,0.00000,0.00140,0.76747,0.00012,0.00004,0.00004,0.00484
156,0.00001,0.00008,0.00003,0.00024,0.00000,0.00431,0.00007,0.00000,0.00006,0.00140,0.00002,0.00003,0.20227,0.72799,0.00010,0.00027,0.00001,0.00000,0.00002,0.00000,0.00026,0.01646,0.00000,0.00012,0.00000,0.00646,0.00000,0.00799,0.00040,0.00003,0.00000,0.00004,0.00000,0.00117,0.00001,0.00000,0.00045,0.00011,0.00000,0.00066,0.00025,0.00000,0.00000,0.00017,0.00308,0.02365,0.00028,0.00016,0.00086,0.00045
157,0.00016,0.00018,0.00009,0.21690,0.00000,0.00151,0.00006,0.00007,0.00052,0.00434,0.00038,0.00007,0.02508,0.04715,0.01360,0.00019,0.00009,0.00000,0.00028,0.00001,0.00001,0.00219,0.00000,0.00021,0.00044,0.09913,0.00000,0.01633,0.00045,0.00000,0.00000,0.00274,0.00002,0.00413,0.00004,0.00002,0.00006,0.00031,0.00001,0.00031,0.00017,0.00019,0.00001,0.00000,0.16993,0.37726,0.00050,0.00081,0.00783,0.00626
158,0.00005,0.01913,0.00226,0.00026,0.00029,0.02543,0.00915,0.00019,0.00026,0.00062,0.00004,0.00027,0.05565,0.66324,0.00004,0.00028,0.00010,0.00009,0.01362,0.00565,0.04084,0.04793,0.00006,0.03298,0.00002,0.02093,0.00059,0.00904,0.00083,0.00305,0.00007,0.00004,0.00007,0.00098,0.00307,0.00041,0.00484,0.00051,0.00001,0.01843,0.00764,0.00018,0.00180,0.00250,0.00006,0.00019,0.00391,0.00042,0.00180,0.00018
159,0.00115,0.00085,0.00060,0.05773,0.00256,0.00185,0.00142,0.00447,0.00058,0.00270,0.00051,0.00583,0.00321,0.02439,0.00057,0.00026,0.17484,0.00037,0.00117,0.00112,0.00068,0.03009,0.00663,0.00232,0.01683,0.03522,0.06113,0.00028,0.00400,0.00028,0.00182,0.00014,0.10336,0.00203,0.00051,0.00022,0.00108,0.00013,0.00003,0.00031,0.00017,0.01411,0.26175,0.00012,0.07787,0.00163,0.00119,0.01071,0.07769,0.00152
160,0.00002,0.00039,0.00007,0.00542,0.00000,0.00322,0.00002,0.00000,0.00003,0.00240,0.00003,0.00008,0.04484,0.70073,0.00014,0.00004,0.00000,0.00000,0.00011,0.00000,0.00006,0.00217,0.00000,0.00005,0.00000,0.00190,0.00000,0.02609,0.00032,0.00001,0.00000,0.00023,0.00000,0.02446,0.00001,0.00000,0.00005,0.00098,0.00000,0.00035,0.00035,0.00000,0.00000,0.00013,0.00043,0.18220,0.00021,0.00005,0.00015,0.00223
161,0.00002,0.00001,0.00001,0.00644,0.00000,0.00067,0.00000,0.00000,0.00001,0.00072,0.00002,0.00001,0.00563,0.06484,0.00007,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00017,0.00000,0.00000,0.00000,0.00063,0.00000,0.00184,0.00002,0.00000,0.00000,0.00011,0.00000,0.00541,0.00000,0.00000,0.00000,0.00024,0.00000,0.00009,0.00013,0.00000,0.00000,0.00000,0.00380,0.90631,0.00002,0.00001,0.00004,0.00273
